,event_id,etype,lat,lon,depth,zerr,herr,prefor_time,mag,magtype,offset_km,CAT0,CAT1,CAT2,time_fixed,epi_fixed,depth_fixed,herr_large,zerr_large,terr_large,low_phase_count,closest_sta_too_far,too_few_sta,WC
uw10281718,quakeml:uw.anss.org/Event/UW/10281718,ex,48.4743333,-122.15433330000002,-872.0,140.0,180.0,1991-09-24 06:06:00.470,1.5,Md,41.571280485312165,False,False,False,False,False,True,False,False,False,True,True,False,False
uw10281728,quakeml:uw.anss.org/Event/UW/10281728,ex,49.0676667,-122.0911667,-1020.0,2290.0,376.0,1991-09-24 06:07:58.870,1.4,Md,38.255804559349315,False,False,False,False,False,True,False,False,False,False,True,False,False
uw10280743,quakeml:uw.anss.org/Event/UW/10280743,eq,48.8243333,-122.1736667,882.0,3850.0,1964.0,1991-10-12 03:24:51.700,1.6,Md,26.69169839494248,True,True,False,False,True,True,False,False,False,False,True,False,False
uw10283418,quakeml:uw.anss.org/Event/UW/10283418,eq,49.1363333,-122.1521667,4124.0,2520.0,1302.0,1991-10-31 17:03:34.850,2.0,Md,47.08666486994641,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10283833,quakeml:uw.anss.org/Event/UW/10283833,eq,48.8415,-122.19683329999998,-898.0,330.0,156.0,1991-11-03 11:44:47.020,1.9,Md,28.783217269076182,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10285328,quakeml:uw.anss.org/Event/UW/10285328,eq,48.6848333,-121.5475,2620.0,1450.0,915.0,1992-01-13 05:17:30.320,1.9,Md,22.15297654636054,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10286903,quakeml:uw.anss.org/Event/UW/10286903,eq,48.6738333,-121.55333330000002,5998.0,1290.0,1091.0,1992-01-19 03:00:17.190,2.7,Md,22.36023666505403,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10289133,quakeml:uw.anss.org/Event/UW/10289133,lf,48.7555,-121.7746667,23693.0,1300.0,1153.0,1992-02-24 06:46:38.390,1.0,Md,3.766061694074811,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10289983,quakeml:uw.anss.org/Event/UW/10289983,eq,48.7495,-121.8128333,703.0,51910.0,46636.0,1992-03-21 03:41:44.110,0.9,Md,2.7983665772845834,True,True,False,True,True,True,True,True,True,False,True,False,False
uw10290783,quakeml:uw.anss.org/Event/UW/10290783,eq,48.6843333,-121.6476667,9801.0,510.0,326.0,1992-03-28 17:28:02.370,0.5,Md,15.97385638915847,True,True,False,False,False,False,False,False,False,True,False,True,False
