evid,prefor,prefmag,etype,timestamp,lat,lon,depth,magnitude,magtype,nsta,nobs,uncertainty
10382878,660303,550508,eq,1995-11-14 10:20:08.59-08,48.8508333,-121.904,2.419,1.1,d,3,3,0.05
10393313,670738,558288,eq,1996-02-19 14:44:01.77-08,48.6571667,-121.6776667,0.553,1,d,2,2,0.04
10390493,667918,555948,eq,1996-04-06 08:00:52.37-08,48.8348333,-121.5295,0.236,1.7,d,4,4,0.07
10401823,679248,564578,px,1996-06-27 13:43:15.77-07,48.6698333,-121.7975,24.964,1.1,d,3,3,0.12
10403798,681223,565883,eq,1996-09-13 14:55:28.22-07,48.8698333,-121.8991667,-1.086,1.3,d,2,2,0.05
10404688,682113,566513,eq,1996-11-01 22:33:16.91-08,48.7486667,-121.5773333,0.053,1.5,d,5,5,0.06
10415598,693023,574298,eq,1997-03-12 10:35:26.44-08,48.6265,-121.6053333,9.603,0.8,d,3,3,0.03
10416033,693458,574618,eq,1997-04-09 14:49:34.67-07,48.6295,-121.8755,15.573,1.1,d,3,3,0.06
10424003,701428,580463,eq,1997-07-12 10:16:23.61-07,48.8451667,-121.5663333,0.504,1.4,d,4,4,0.07
10424023,701448,580478,eq,1997-07-12 10:18:58.23-07,48.8413333,-121.5655,1.344,1.3,d,4,4,0.08
10424078,701503,580513,eq,1997-07-12 12:04:28.22-07,48.8521667,-121.5641667,1.367,1.7,d,5,5,0.07
10435148,712573,589203,lf,1998-03-13 12:19:40.64-08,48.7876667,-121.7598333,21.289,2.7,d,3,3,0.12
10437053,714478,590508,eq,1998-03-17 17:41:27.24-08,48.7375,-121.5088333,0.511,1,d,3,3,0.08
10442073,719498,594433,eq,1998-04-26 14:19:58.56-07,48.8071667,-121.9138333,-1.048,1.8,d,3,3,0.07
10442113,719538,594463,eq,1998-04-26 14:20:21.43-07,48.8291667,-121.911,-1.189,1.9,d,3,3,0.08
10442143,719568,594478,eq,1998-04-26 14:21:11.83-07,48.8305,-121.9195,-1.189,1.3,d,3,3,0.06
10470788,748218,614213,px,1999-02-14 16:21:59.05-08,48.7045,-122.0298333,9.222,0,d,0,0,0.14
10489408,766838,624983,eq,1999-11-26 18:31:29.4-08,48.9385,-121.9608333,5.354,0.9,d,2,2,0.04
10485903,763333,623133,eq,1999-12-11 16:44:16.21-08,48.6326667,-121.5405,4.069,0.9,d,3,3,0.06
10493763,771193,627648,eq,2000-02-15 14:52:29.09-08,48.8945,-121.9036667,-1.097,0,d,1,1,0.06
10497508,774938,629818,eq,2000-03-30 14:14:54.88-08,48.6176667,-121.6763333,0.333,0.8,d,4,4,0.04
10498478,775908,630448,lf,2000-05-23 03:33:51.47-07,48.7736667,-121.7951667,24.9,1.4,d,3,3,0.13
10520623,802823,647588,eq,2000-06-18 17:00:02.89-07,48.9043333,-121.9521667,1.22,1.4,d,5,5,0.04
10501263,778693,632043,eq,2000-07-06 15:32:47.1-07,48.6181667,-121.8935,1.583,1.1,d,3,3,0.02
10507413,784843,635293,eq,2000-07-19 04:41:26.38-07,48.9096667,-121.6083333,2.341,1.2,d,2,2,0.06
10512768,790198,638218,eq,2000-08-28 17:11:53.25-07,48.6118333,-121.5078333,0.492,1.9,d,6,6,0.05
10516553,793983,640528,eq,2000-11-16 04:29:29.68-08,48.7116667,-121.6566667,-1.01,1.3,d,5,5,0.06
10517018,794448,640813,lf,2000-11-18 09:47:18.08-08,48.7286667,-121.8028333,21.374,0.7,d,1,1,0.1
10518813,801013,646568,eq,2001-01-03 10:19:54.03-08,48.8945,-121.9213333,-0.831,1,d,3,3,0.09
10521413,1248958,993058,lf,2001-01-11 13:45:40.68-08,48.6841667,-121.7978333,-1.028,1.39,d,3,3,0.407
10554313,836548,665093,eq,2002-03-23 17:41:42.57-08,48.7071667,-121.5076667,5.129,1.2,d,2,2,0.05
10552478,834713,663998,eq,2002-05-07 22:50:15.48-07,48.614,-121.955,2.882,1.3,d,4,4,0.03
10554518,1248923,993023,lf,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,0.65,d,2,2,0.13
10554973,837208,665508,eq,2002-05-14 22:48:43.27-07,48.675,-122.0358333,4.214,0.9,d,2,2,0.03
10571568,853803,674343,eq,2002-08-20 09:53:11.35-07,48.636,-121.5126667,0.933,0.5,d,2,2,0.05
10562998,845233,669943,eq,2002-09-13 07:58:57.85-07,48.6125,-121.9648333,2.615,1.5,d,6,6,0.02
10563093,845328,669983,eq,2002-09-13 08:59:01.72-07,48.6126667,-121.9555,7.924,0.4,d,3,3,0.04
10568218,850453,672468,eq,2002-09-24 22:31:16.22-07,48.6083333,-121.9645,-0.949,2.4,d,17,17,0.03
10568243,850478,672483,eq,2002-09-24 22:36:11.45-07,48.6155,-121.952,-0.949,2.6,d,14,14,0.04
10568293,850528,672513,eq,2002-09-24 23:48:51.5-07,48.6101667,-121.9603333,9.614,0.4,d,2,2,0.04
10568303,850538,672523,eq,2002-09-25 00:22:34.95-07,48.6113333,-121.963,6.904,0.4,d,3,3,0.03
10572443,854678,674813,eq,2002-11-04 18:44:19.24-08,48.6975,-121.8728333,1.267,1.3,d,4,4,0.04
10573743,855978,675478,eq,2003-01-13 13:09:27.19-08,48.8255,-121.5076667,2.783,0.9,d,4,4,0.03
10584853,867093,682173,eq,2003-03-30 02:43:57.77-08,48.9018333,-121.9605,1.697,1,d,4,4,0.03
10589193,871438,684618,lf,2003-09-06 04:37:23.5-07,48.7425,-121.7693333,19.258,0.9,d,3,3,0.08
10613388,895643,697583,eq,2004-05-28 14:20:29.63-07,48.7668333,-121.7885,2.286,1.3,d,1,1,0.06
10609348,891603,695313,eq,2004-06-11 13:29:11.65-07,48.6315,-121.6558333,-1.074,2.8,d,11,11,0.05
10609393,891648,695333,eq,2004-06-11 13:34:37.61-07,48.6531667,-121.6213333,-0.027,1.1,d,3,3,0.03
10609398,891653,695338,eq,2004-06-11 13:36:42.86-07,48.6285,-121.6615,-0.076,0.5,d,3,3,0.04
10609403,891658,695343,eq,2004-06-11 13:37:23.75-07,48.625,-121.6883333,0.244,1.2,d,3,3,0.03
10609458,891713,695383,eq,2004-06-11 15:59:26.14-07,48.6678333,-121.599,0.273,1,d,3,3,0.04
10609508,891763,695408,eq,2004-06-11 18:24:57.48-07,48.629,-121.6913333,-0.438,1.8,d,5,5,0.06
10609543,891798,695433,eq,2004-06-11 21:02:24.98-07,48.6536667,-121.6036667,0.073,1.1,d,3,3,0.04
10610328,892583,695903,eq,2004-06-13 19:17:40.85-07,48.6411667,-121.6583333,0.324,0.5,d,3,3,0.03
10608853,891108,695013,lf,2004-08-08 06:29:53.95-07,48.7366667,-121.7311667,14.723,1.4,d,3,3,0.05
10609623,891878,695483,eq,2004-08-10 02:51:50.77-07,48.6896667,-121.9426667,2.493,0.4,d,3,3,0.05
10626713,2466068,2227423,lf,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,1.34,d,2,2,0.535
10627123,2466073,2227428,lf,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,1.15,d,3,3,0.366
10660283,2466108,2227473,lf,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,1.49,l,4,4,0.411
10665323,2466103,1191853,lf,2005-07-14 21:39:30.82-07,48.7296667,-121.8101667,17.05,1.21,d,4,4,0.223
10671218,2466098,993043,lf,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,0.89,d,3,3,0.096
10673223,955478,747528,eq,2005-08-04 03:29:49.85-07,48.724,-121.6596667,0.11,1.5,d,4,4,0.03
10674173,956428,748273,eq,2005-08-05 10:08:41.33-07,48.6296667,-121.968,-0.873,0.8,d,1,1,0.02
10676868,2466093,2227453,lf,2005-08-09 14:40:05.48-07,48.8055,-121.7423333,34.15,2.24,l,11,13,0.131
10676123,2466083,2227438,lf,2005-10-02 09:02:19.379997-07,48.7785,-121.8436667,-1.12,0.88,d,2,2,0.088
10676593,958848,750198,eq,2005-10-03 07:58:05.5-07,48.8503333,-122.02,11.944,0.4,d,2,2,0.03
10678898,961153,751998,eq,2005-12-01 05:30:25.13-08,48.7931667,-122.0211667,13.194,0.4,d,2,2,0.05
10678908,961163,752008,eq,2005-12-01 06:50:36.86-08,48.8521667,-121.8978333,13.397,0.2,d,2,2,0.04
10681138,963393,753733,eq,2005-12-07 11:06:00.34-08,48.796,-122.036,15.214,0.6,d,3,3,0.03
10683318,965573,755443,eq,2005-12-11 10:09:12.37-08,48.8455,-121.5738333,0.073,1.3,d,4,4,0.03
10685168,967423,756883,eq,2005-12-15 16:18:59.58-08,48.7566667,-121.9238333,4.813,0.7,d,2,2,0.03
10686773,969028,758113,eq,2006-03-03 04:02:14.53-08,48.748,-122.0108333,-1.066,1,d,2,2,0.04
10692508,974763,762298,eq,2006-03-25 13:08:53.79-08,48.6626667,-122.0403333,2.254,1.5,d,7,7,0.03
10693483,975738,763018,eq,2006-05-13 15:22:18.76-07,48.612,-121.8608333,1.993,0.8,d,4,4,0.03
10693328,975583,762913,eq,2006-06-12 11:46:00.85-07,48.697,-122.0153333,2.703,1.1,d,2,2,0.1
10693498,3114963,3036013,lf,2006-06-13 09:14:52.939999-07,48.763666666666666,-121.81916666666666,-1.03,1.37,d,3,3,0.0711110710212326
10695123,977378,764268,eq,2006-06-20 17:11:34.5-07,48.8453333,-121.7621667,0.01,1.3,d,1,1,0.04
10693713,975968,763188,lf,2006-07-02 13:29:27.65-07,48.7603333,-121.835,-0.829,1.7,d,1,1,0.04
10694393,976648,763688,lf,2006-07-05 11:07:13.13-07,48.7568333,-121.852,-0.943,1.8,d,3,3,0.06
10701643,983898,769193,eq,2006-07-21 17:57:56.08-07,48.9066667,-122.01,20.551,1.2,d,3,3,0.05
10696273,978528,765178,eq,2006-08-03 15:08:13.09-07,48.6126667,-122.0098333,1.453,0.9,d,2,2,0.04
10697783,980038,766253,eq,2006-08-06 18:16:56.45-07,48.619,-121.8523333,3.104,0.7,d,1,1,0.04
