evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10554518,lf,1,5,734623,EVENT ID: 035758,993023,0.65,d,0.13,2,2,1248923,UW,Jiggle,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,0.8,0.24,1.64,2.44,,,0,n,n,n,,,,,,,,,,,2.66,351,66,1.64,254,2,0.77,,
10554518,lf,1,5,734623,2 triggered subnets: 6 7,993023,0.65,d,0.13,2,2,1248923,UW,Jiggle,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,0.8,0.24,1.64,2.44,,,0,n,n,n,,,,,,,,,,,2.66,351,66,1.64,254,2,0.77,,
10613268,lf,1,5,1761543,strange picking issues,697503,1.1,d,0.05,3,3,2466063,UW,Jiggle,2004-05-28 11:01:21.23-07,48.6041667,-122.0385,-0.98,1,0.36,0.83,1.46,,,0,n,n,n,,,,,,,,,,,1.47,253,86,0.84,97,3,0.52,,
10626713,lf,1,5,806863,"NEAR:      4.5 km SSE of Mt Baker, WA",2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10626713,lf,1,5,806863,EVENT ID: 027209,2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10626713,lf,1,5,806863,UW2 Q1=C  Q2=D,2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10626713,lf,1,5,806863,3 triggered subnets: 6 7 19,2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10627123,lf,1,5,807268,"NEAR:      6.7 km SSW of Mt Baker, WA",2227428,1.15,d,0.366,3,3,2466073,UW,Jiggle,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,0.5,0.03,0.81,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.81,184,0,0.49,,
10627123,lf,1,5,807268,2 triggered subnets: 6 7,2227428,1.15,d,0.366,3,3,2466073,UW,Jiggle,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,0.5,0.03,0.81,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.81,184,0,0.49,,
10627123,lf,1,5,807268,EVENT ID: 027221,2227428,1.15,d,0.366,3,3,2466073,UW,Jiggle,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,0.5,0.03,0.81,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.81,184,0,0.49,,
