2022-10-24 17:46:13.830000, MBW EHZ UW 01, baker13
2022-10-24 19:21:27.760000, MBW EHZ UW 01, baker13
2023-05-19 09:13:38, MBW EHZ UW 01, baker13
2023-05-19 11:25:18.020000, MBW EHZ UW 01, baker13
2023-05-20 20:40:12.780000, MBW EHZ UW 01, baker13
2023-05-21 19:26:05.040000, MBW EHZ UW 01, baker13
2023-05-22 14:34:50.370000, MBW EHZ UW 01, baker13
2023-05-24 12:17:07.760000, MBW EHZ UW 01, baker13
2023-05-24 20:18:01.560000, MBW EHZ UW 01, baker13
2023-05-26 23:28:56.210000, MBW EHZ UW 01, baker13
2023-05-27 02:16:55.360000, MBW EHZ UW 01, baker13
2023-05-28 20:26:20.900000, MBW EHZ UW 01, baker13
2023-06-02 03:28:00.010000, MBW EHZ UW 01, baker13
2023-06-05 01:53:33.460000, MBW EHZ UW 01, baker13
2023-06-08 21:25:36.760000, MBW EHZ UW 01, baker13
2023-06-11 15:15:58.420000, MBW EHZ UW 01, baker13
2023-06-12 02:20:14.200000, MBW EHZ UW 01, baker13
2023-06-13 09:45:16.660000, MBW EHZ UW 01, baker13
2024-07-20 22:22:28.160000, MBW EHZ UW 01, baker13
2009-11-24 00:38:40.161400, MBW EHZ UW 01, baker14
2009-11-26 00:25:42.510200, MBW EHZ UW 01, baker14
2009-12-01 00:40:25.091300, MBW EHZ UW 01, baker14
2009-12-25 03:15:02.600000, MBW EHZ UW 01, baker15
2009-12-25 13:51:01.660100, MBW EHZ UW 01, baker15
2009-12-28 18:57:48.841000, MBW EHZ UW 01, baker16
2009-12-28 19:04:56.701000, MBW EHZ UW 01, baker16
2018-06-17 13:20:36.520012, MBW EHZ UW 01, baker16
2010-01-07 09:58:09.201300, MBW EHZ UW 01, baker17
2010-01-08 10:26:58.261400, MBW EHZ UW 01, baker17
2010-03-06 20:55:51.950400, MBW EHZ UW 01, baker18
2010-03-09 00:16:51.500800, MBW EHZ UW 01, baker18
2014-09-28 18:15:51.760010, MBW EHZ UW 01, baker18
2010-03-12 03:56:36.660100, MBW EHZ UW 01, baker19
2010-03-12 18:31:38.091100, MBW EHZ UW 01, baker19
2010-03-12 20:33:03.110500, MBW EHZ UW 01, baker19
2010-03-13 06:15:04.499000, MBW EHZ UW 01, baker20
2010-03-14 09:47:10.820100, MBW EHZ UW 01, baker20
2010-03-14 14:04:03.058100, MBW EHZ UW 01, baker21
2010-03-14 22:53:05.561300, MBW EHZ UW 01, baker21
2010-03-22 21:50:55.107800, MBW EHZ UW 01, baker21
2010-03-15 06:04:09.560400, MBW EHZ UW 01, baker22
2010-03-15 11:24:54.991400, MBW EHZ UW 01, baker22
2010-03-20 06:08:08.320400, MBW EHZ UW 01, baker23
2010-03-20 12:48:03.501100, MBW EHZ UW 01, baker23
2015-08-10 23:05:30.120049, MBW EHZ UW 01, baker23
2015-08-12 08:20:05.450463, MBW EHZ UW 01, baker23
2010-04-14 08:23:47.199200, MBW EHZ UW 01, baker24
2010-04-14 21:24:47.243400, MBW EHZ UW 01, baker24
2010-04-15 10:26:40.920800, MBW EHZ UW 01, baker24
2010-05-07 18:50:14.461300, MBW EHZ UW 01, baker25
2010-05-07 18:52:41.761300, MBW EHZ UW 01, baker25
2010-06-10 12:49:33.371200, MBW EHZ UW 01, baker26
2010-06-12 06:51:56.940400, MBW EHZ UW 01, baker26
2011-03-23 05:32:34.390700, MBW EHZ UW 01, baker26
2010-07-03 13:31:52.080500, MBW EHZ UW 01, baker27
2010-07-03 16:09:56.580300, MBW EHZ UW 01, baker27
2010-07-04 12:52:15.690100, MBW EHZ UW 01, baker27
2011-10-10 05:40:50.769900, MBW EHZ UW 01, baker27
2012-06-02 00:38:32.470000, MBW EHZ UW 01, baker27
2013-02-07 18:17:02.410000, MBW EHZ UW 01, baker27
2013-02-14 21:04:02.660600, MBW EHZ UW 01, baker27
2013-08-07 01:34:14.470000, MBW EHZ UW 01, baker27
2013-09-08 18:12:19.881300, MBW EHZ UW 01, baker27
2014-02-10 01:51:46.620011, MBW EHZ UW 01, baker27
2014-08-18 08:19:10.490030, MBW EHZ UW 01, baker27
2014-08-19 05:49:07.910002, MBW EHZ UW 01, baker27
2014-09-07 17:31:45.259996, MBW EHZ UW 01, baker27
2015-02-21 05:38:17.150001, MBW EHZ UW 01, baker27
2015-02-23 11:48:34.080662, MBW EHZ UW 01, baker27
2015-02-23 12:04:43.880039, MBW EHZ UW 01, baker27
2015-02-27 00:50:56.560005, MBW EHZ UW 01, baker27
2015-07-13 03:46:00.000271, MBW EHZ UW 01, baker27
2015-09-26 18:50:06.881128, MBW EHZ UW 01, baker27
2015-11-23 01:29:16.510002, MBW EHZ UW 01, baker27
2016-05-10 22:12:02.450801, MBW EHZ UW 01, baker27
2016-08-09 07:51:00.640008, MBW EHZ UW 01, baker27
2016-12-23 20:16:19.940008, MBW EHZ UW 01, baker27
2017-07-04 13:40:55.150000, MBW EHZ UW 01, baker27
2017-08-01 09:25:15.580000, MBW EHZ UW 01, baker27
2017-12-18 20:45:37.030005, MBW EHZ UW 01, baker27
2022-01-14 08:26:56.110000, MBW EHZ UW 01, baker27
2022-01-14 08:33:16.350000, MBW EHZ UW 01, baker27
2022-01-14 09:15:47.110000, MBW EHZ UW 01, baker27
2022-01-14 14:46:56.680000, MBW EHZ UW 01, baker27
