cluster_index,reftime
34,2010-11-01 06:03:11.971100
34,2010-12-21 07:46:29.410100
35,2010-11-04 12:05:44.600800
35,2010-11-05 02:39:44.341700
36,2010-11-12 17:36:43.939100
36,2010-11-13 21:54:02.448800
37,2011-01-16 06:40:56.120100
37,2011-01-16 07:18:53.521300
38,2011-01-27 09:23:37.760100
38,2011-01-29 06:54:48.190700
38,2011-02-16 22:45:44.830900
38,2011-03-09 20:54:46.191400
38,2012-01-09 06:39:38.820000
39,2011-02-17 13:13:03.400300
39,2011-02-17 13:29:28.450300
40,2011-02-19 00:56:38.777300
40,2011-02-20 13:41:13.987600
41,2011-03-06 22:42:58.100900
41,2011-03-07 22:12:01.850800
42,2011-03-26 16:00:26.709900
42,2011-03-26 16:17:08.439900
43,2011-04-06 17:56:27.850700
43,2011-04-07 10:50:39.051000
44,2011-07-16 04:33:38.200000
44,2011-07-20 06:02:31.979900
44,2011-07-20 21:47:49.619900
44,2011-07-26 08:35:38.889900
44,2012-11-18 21:17:56.120000
44,2012-11-19 11:38:10.690000
44,2016-01-20 00:56:52.910252
45,2011-07-20 14:12:54.850000
45,2011-07-21 08:08:25.740000
46,2011-10-01 15:31:32.940000
46,2011-10-02 10:40:07.210000
47,2011-10-07 21:12:37.389900
47,2011-10-10 22:59:23.039900
48,2011-10-09 12:54:07.160000
48,2011-10-09 13:15:34.790000
49,2011-11-04 00:48:10.340000
49,2011-11-04 01:17:47.930000
49,2011-11-04 01:31:59.980000
49,2015-07-10 16:02:17.100001
49,2015-07-10 20:13:03.470207
49,2015-07-10 20:27:59.590207
49,2016-02-14 08:42:31.640004
50,2011-11-24 15:55:54.599900
50,2011-11-24 16:45:22.789900
50,2011-11-24 19:02:43.080000
50,2011-12-01 08:56:22.630000
50,2011-12-01 17:09:36.320000
50,2011-12-09 23:35:08.750000
50,2011-12-16 22:21:34.420000
50,2011-12-17 04:31:32.000000
51,2011-12-03 19:39:58.651100
51,2011-12-03 19:43:43.321100
52,2011-12-08 19:13:39.560000
52,2011-12-08 19:25:00.050000
