evid,etype,remark,auth,calculated_distance_km,origin_time,lat,lon,depth,totalarr,no_defining_phases,no_S_phase,orig_quality,wrms,rflag,fixed_depth,fixed_epicenter,fixed_origin_time,origin_bogusflag,magnitude,magtype,mag_nsta,mag_nobs,mag_uncertainty,orid,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,azismall,dipsmall,magsmall,aziinter,dipinter,maginter,azilarge,diplarge,maglarge,lddate,subsource,version,lddate
10294463,lf,    34.6 km  NE of Mount Baker,UW,2.690734585074771,1992-05-11 14:06:18.87-07,48.768,-121.7818333,25.84,13,12,5,0.8,0.27,F,n,n,n,0,0.9,d,3,3,0.108,1200403,,,,,,,,,,,,,0.7,209,44,1.13,39,44,1.73,2012-06-14 22:06:11,UW2AQMS,8,2012-02-27 18:17:42
10294463,lf,rbb,UW,2.690734585074771,1992-05-11 14:06:18.87-07,48.768,-121.7818333,25.84,13,12,5,0.8,0.27,F,n,n,n,0,0.9,d,3,3,0.108,1200403,,,,,,,,,,,,,0.7,209,44,1.13,39,44,1.73,2012-06-14 22:06:11,UW2AQMS,8,2012-02-27 18:17:42
10294463,lf,UW2 Q1=D  Q2=D,UW,2.690734585074771,1992-05-11 14:06:18.87-07,48.768,-121.7818333,25.84,13,12,5,0.8,0.27,F,n,n,n,0,0.9,d,3,3,0.108,1200403,,,,,,,,,,,,,0.7,209,44,1.13,39,44,1.73,2012-06-14 22:06:11,UW2AQMS,8,2012-02-27 18:17:42
10291183,lf,UW2 Q1=B  Q2=D,UW,11.960075230744293,1992-07-02 12:40:37.07-07,48.6716667,-121.865,19.133,8,8,4,0.5,0.21,F,y,y,n,0,0.66,d,4,4,0.222,1248913,,,,,,,,,,,,,0.69,268,0,0.96,0,90,31.61,2012-09-03 15:45:43,UW2AQMS,5,2012-02-27 18:11:01
10291183,lf,rbb,UW,11.960075230744293,1992-07-02 12:40:37.07-07,48.6716667,-121.865,19.133,8,8,4,0.5,0.21,F,y,y,n,0,0.66,d,4,4,0.222,1248913,,,,,,,,,,,,,0.69,268,0,0.96,0,90,31.61,2012-09-03 15:45:43,UW2AQMS,5,2012-02-27 18:11:01
10291183,lf,    12.2 km SSW of Mount Baker,UW,11.960075230744293,1992-07-02 12:40:37.07-07,48.6716667,-121.865,19.133,8,8,4,0.5,0.21,F,y,y,n,0,0.66,d,4,4,0.222,1248913,,,,,,,,,,,,,0.69,268,0,0.96,0,90,31.61,2012-09-03 15:45:43,UW2AQMS,5,2012-02-27 18:11:01
10521413,lf,"NEAR:     10.6 km   S of Mt Baker, WA",UW,10.144546273524252,2001-01-11 13:45:40.68-08,48.6841667,-121.7978333,-1.028,9,9,3,0.5,0.21,F,y,n,n,0,1.39,d,3,3,0.407,1248958,,,,,,,,,,,,,0.67,220,0,0.76,0,90,31.61,2012-09-03 16:33:41,UW2AQMS,5,2012-03-05 10:59:25
10521413,lf,Event cut out from 01011121444p by atieman Fri Jan 12 10:31:06 PST 2001,UW,10.144546273524252,2001-01-11 13:45:40.68-08,48.6841667,-121.7978333,-1.028,9,9,3,0.5,0.21,F,y,n,n,0,1.39,d,3,3,0.407,1248958,,,,,,,,,,,,,0.67,220,0,0.76,0,90,31.61,2012-09-03 16:33:41,UW2AQMS,5,2012-03-05 10:59:25
10521413,lf,UW2 Q1=B  Q2=C,UW,10.144546273524252,2001-01-11 13:45:40.68-08,48.6841667,-121.7978333,-1.028,9,9,3,0.5,0.21,F,y,n,n,0,1.39,d,3,3,0.407,1248958,,,,,,,,,,,,,0.67,220,0,0.76,0,90,31.61,2012-09-03 16:33:41,UW2AQMS,5,2012-03-05 10:59:25
10531448,px,"NEAR:      3.7 km SSE of Mt Baker, WA",UW,39.7800187243294,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,5,5,1,0.3,0.5,F,y,n,n,0,0.86,d,1,1,0,1466373,,,,,,,,,,,,,4.13,315,0,8.81,0,90,31.61,2013-08-23 21:39:15,UW2AQMS,8,2012-03-05 11:28:47
