evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,mbs_distance_km,distance,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10624203,eq,1,3,804353,This is very close to the Diablo Dam!,705228,3.2,d,0.04,9,9,906458,UW,UW2AQMS,2005-02-06 00:54:15.48-08,48.7523333,-121.1606667,-0.761,48.18441592767059,42,1,0.25,0.094,0.19,0.05,0.08,0,y,n,n,,,,,,,,,,,,,,,,,,,
10624203,eq,1,3,804353,notable,705228,3.2,d,0.04,9,9,906458,UW,UW2AQMS,2005-02-06 00:54:15.48-08,48.7523333,-121.1606667,-0.761,48.18441592767059,42,1,0.25,0.094,0.19,0.05,0.08,0,y,n,n,,,,,,,,,,,,,,,,,,,
10624203,eq,1,3,804353,A 200502060853 53.98 48N4604 121W1202 3.84 42/042 168 42 0.00 DC,705228,3.2,d,0.04,9,9,906458,UW,UW2AQMS,2005-02-06 00:54:15.48-08,48.7523333,-121.1606667,-0.761,48.18441592767059,42,1,0.25,0.094,0.19,0.05,0.08,0,y,n,n,,,,,,,,,,,,,,,,,,,
10624343,eq,1,3,804493,EVENT ID: 026996,705358,1.9,d,0.04,7,7,906598,UW,UW2AQMS,2005-02-06 01:12:14.53-08,48.748,-121.1683333,-0.347,47.65264721129154,41,0.5,0.33,9.376,33.47,3.42,8.73,0,y,y,n,,,,,,,,,,,,,,,,,,,
10624343,eq,1,3,804493,"NEAR:     47.9 km   E of Mt Baker, WA",705358,1.9,d,0.04,7,7,906598,UW,UW2AQMS,2005-02-06 01:12:14.53-08,48.748,-121.1683333,-0.347,47.65264721129154,41,0.5,0.33,9.376,33.47,3.42,8.73,0,y,y,n,,,,,,,,,,,,,,,,,,,
10624343,eq,1,3,804493,4 triggered subnets: 3 6 7 25,705358,1.9,d,0.04,7,7,906598,UW,UW2AQMS,2005-02-06 01:12:14.53-08,48.748,-121.1683333,-0.347,47.65264721129154,41,0.5,0.33,9.376,33.47,3.42,8.73,0,y,y,n,,,,,,,,,,,,,,,,,,,
10624343,eq,1,3,804493,UW2 Q1=D  Q2=C,705358,1.9,d,0.04,7,7,906598,UW,UW2AQMS,2005-02-06 01:12:14.53-08,48.748,-121.1683333,-0.347,47.65264721129154,41,0.5,0.33,9.376,33.47,3.42,8.73,0,y,y,n,,,,,,,,,,,,,,,,,,,
10624393,eq,1,3,804543,EVENT ID: 026997,705403,1.6,d,0.04,3,3,906648,UW,UW2AQMS,2005-02-06 03:32:07.46-08,48.7721667,-121.1435,-1.125,49.370508284326526,45,0.5,0.55,1.154,7.3,0.91,0.71,0,y,n,n,,,,,,,,,,,,,,,,,,,
10624393,eq,1,3,804543,"NEAR:     49.6 km   E of Mt Baker, WA",705403,1.6,d,0.04,3,3,906648,UW,UW2AQMS,2005-02-06 03:32:07.46-08,48.7721667,-121.1435,-1.125,49.370508284326526,45,0.5,0.55,1.154,7.3,0.91,0.71,0,y,n,n,,,,,,,,,,,,,,,,,,,
10624393,eq,1,3,804543,UW2 Q1=D  Q2=D,705403,1.6,d,0.04,3,3,906648,UW,UW2AQMS,2005-02-06 03:32:07.46-08,48.7721667,-121.1435,-1.125,49.370508284326526,45,0.5,0.55,1.154,7.3,0.91,0.71,0,y,n,n,,,,,,,,,,,,,,,,,,,
10624393,eq,1,3,804543,4 triggered subnets: 3 6 7 25,705403,1.6,d,0.04,3,3,906648,UW,UW2AQMS,2005-02-06 03:32:07.46-08,48.7721667,-121.1435,-1.125,49.370508284326526,45,0.5,0.55,1.154,7.3,0.91,0.71,0,y,n,n,,,,,,,,,,,,,,,,,,,
10626713,lf,1,5,806863,"NEAR:      4.5 km SSE of Mt Baker, WA",2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,4.228918405282933,39,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10626713,lf,1,5,806863,EVENT ID: 027209,2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,4.228918405282933,39,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10626713,lf,1,5,806863,3 triggered subnets: 6 7 19,2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,4.228918405282933,39,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10626713,lf,1,5,806863,UW2 Q1=C  Q2=D,2227423,1.34,d,0.535,2,2,2466068,UW,Jiggle,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,4.228918405282933,39,0.5,0.48,2.91,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,2.91,211,0,1.16,,
10627123,lf,1,5,807268,"NEAR:      6.7 km SSW of Mt Baker, WA",2227428,1.15,d,0.366,3,3,2466073,UW,Jiggle,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,6.515918175072521,38,0.5,0.03,0.81,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.81,184,0,0.49,,
10627123,lf,1,5,807268,EVENT ID: 027221,2227428,1.15,d,0.366,3,3,2466073,UW,Jiggle,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,6.515918175072521,38,0.5,0.03,0.81,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.81,184,0,0.49,,
10627123,lf,1,5,807268,2 triggered subnets: 6 7,2227428,1.15,d,0.366,3,3,2466073,UW,Jiggle,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,6.515918175072521,38,0.5,0.03,0.81,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.81,184,0,0.49,,
