evid,etype,uw_evid
10384843,eq,uw10384843
10385323,eq,uw10385323
10388008,eq,uw10388008
10394838,eq,uw10394838
10394868,eq,uw10394868
10395198,eq,uw10395198
10389783,eq,uw10389783
10393313,eq,uw10393313
10395298,eq,uw10395298
10395323,eq,uw10395323
10389233,eq,uw10389233
10389383,eq,uw10389383
10390578,eq,uw10390578
10393358,eq,uw10393358
10390493,eq,uw10390493
10394278,eq,uw10394278
10394528,eq,uw10394528
10389333,px,uw10389333
10405833,eq,uw10405833
10407433,eq,uw10407433
10409243,eq,uw10409243
10410843,eq,uw10410843
10411093,eq,uw10411093
10391363,eq,uw10391363
10399773,eq,uw10399773
10401823,px,uw10401823
10405073,eq,uw10405073
10406038,eq,uw10406038
10408173,eq,uw10408173
10398318,eq,uw10398318
10398598,eq,uw10398598
10405343,eq,uw10405343
10399958,eq,uw10399958
10403798,eq,uw10403798
10404088,eq,uw10404088
10403628,eq,uw10403628
10408308,eq,uw10408308
10409873,eq,uw10409873
10404688,eq,uw10404688
10404733,eq,uw10404733
10406918,eq,uw10406918
10408773,px,uw10408773
10409098,eq,uw10409098
10409213,eq,uw10409213
10409223,eq,uw10409223
10409618,px,uw10409618
10411163,eq,uw10411163
10411813,eq,uw10411813
10409378,eq,uw10409378
10411263,eq,uw10411263
10412563,eq,uw10412563
10415318,eq,uw10415318
10415498,eq,uw10415498
10415748,eq,uw10415748
10416018,eq,uw10416018
10417743,eq,uw10417743
10419073,eq,uw10419073
10415598,eq,uw10415598
10416083,eq,uw10416083
10419628,eq,uw10419628
10414023,eq,uw10414023
10416033,eq,uw10416033
10417078,eq,uw10417078
10417373,eq,uw10417373
10417918,eq,uw10417918
10418208,eq,uw10418208
10420258,eq,uw10420258
10413673,eq,uw10413673
10413883,eq,uw10413883
10414253,eq,uw10414253
10414273,eq,uw10414273
10415508,eq,uw10415508
10415548,eq,uw10415548
10415828,eq,uw10415828
10415958,eq,uw10415958
10416138,eq,uw10416138
10417688,eq,uw10417688
10420213,eq,uw10420213
10414213,eq,uw10414213
10415198,eq,uw10415198
10417733,eq,uw10417733
10418963,eq,uw10418963
10419753,eq,uw10419753
10419763,eq,uw10419763
10420728,eq,uw10420728
10424003,eq,uw10424003
10424023,eq,uw10424023
10424078,eq,uw10424078
10426763,eq,uw10426763
10426773,eq,uw10426773
10429078,eq,uw10429078
10420808,eq,uw10420808
10423913,eq,uw10423913
10424383,eq,uw10424383
10424518,eq,uw10424518
10424613,eq,uw10424613
10428058,eq,uw10428058
