evid,orid,lat,lon,depth,datetime,etype,separation_km
10257838,534783,48.824,-122.1833333,0.471,640072951.87,eq,27.45559341532
10257873,534818,48.8298333,-122.1786667,2.341,640072984.53,eq,27.25738105294
10257923,534868,48.8426667,-122.154,11.602,640073569.5,eq,25.87391959628
10257948,534893,48.8255,-122.1916667,0.861,640073714.91,eq,28.08844894391
10257998,534943,48.8323333,-122.1955,0.521,640073968.07,eq,28.52413862697
10258043,534988,48.8146667,-122.1768333,2.402,640076109.99,eq,26.79792279777
10258078,535023,48.8226667,-122.2008333,2.762,640077326.65,eq,28.68859959871
10258118,535063,48.7656667,-122.2108333,-1.02,640077967.33,eq,28.951832364530002
10258193,535138,48.8288333,-122.1958333,0.642,640082706.1,eq,28.463779595600002
10258213,535158,48.8136667,-122.1095,1.743,640084626.86,eq,21.91335429366
10258238,535183,48.8311667,-122.1701667,1.322,640086272.41,eq,26.683749767050003
10258268,535213,48.7446667,-122.0245,-0.914,640086329.38,eq,15.59827574456
10258313,535258,48.823,-122.1845,4.491,640088034.31,eq,27.51782086506
10258343,535288,48.8628333,-122.1823333,0.58,640088612.56,eq,28.556975495760003
10258378,535323,48.8208333,-122.1826667,-0.861,640091170.42,eq,27.33989568247
10258518,535463,48.834,-122.1946667,14.458,640097214.12,eq,28.50650778269
10258573,535518,48.859,-122.1658333,-0.28,640100806.79,eq,27.27349731851
10258643,535588,48.7981667,-122.173,14.95,640124463.69,eq,26.277810423570003
10258783,535728,48.8235,-122.1981667,0.602,640144207.16,eq,28.51349960803
10258823,535768,48.8261667,-122.2068333,0.666,640145142.45,eq,29.19488165339
10258848,535793,48.8101667,-122.2008333,4.781,640145606.89,eq,28.46530994174
10258873,535818,48.8641667,-122.1801667,8.24,640162304.88,eq,28.45891401342
10258938,535883,48.8471667,-122.1778333,0.651,640177666.6,eq,27.69319718086
10258968,535913,48.9003333,-122.1668333,-0.61,640177908.79,eq,29.23324479904
10258978,535923,48.8385,-122.1803333,4.021,640177978.72,eq,27.6070489271
10259038,535983,48.826,-122.1933333,2.722,640200889.2,eq,28.21947064395
10259113,536058,48.8326667,-122.173,3.281,640228394.79,eq,26.92524887335
10259168,536113,48.8378333,-122.1801667,0.871,640234271.99,eq,27.57636717645
10259198,536143,48.8128333,-122.1913333,2.102,640239199.61,eq,27.817450772609998
10259243,536188,48.8118333,-122.1745,-0.99,640270418.1,eq,26.578595979000003
10259263,536208,48.7968333,-122.1613333,-1.02,640278173.25,eq,25.41036157
10259303,536248,48.7918333,-122.1708333,-1.02,640282967.34,eq,26.05948379277
10259318,536263,48.8276667,-122.1836667,2.34,640283904,eq,27.56320824171
10259343,536288,48.8488333,-122.1703333,3.471,640294746.53,eq,27.2220804574
10259363,536308,48.934,-122.1163333,-0.861,640303572.91,eq,28.22239212528
10259413,536358,48.8408333,-122.1935,2.691,640335796.53,eq,28.60778557067
10259443,536388,48.7968333,-122.1668333,-0.99,640345456.68,eq,25.81262446873
10259483,536428,48.8341667,-122.1748333,2.611,640390042.53,eq,27.09598083453
10259573,536518,48.8591667,-122.1573333,14.032,640420906.83,eq,26.69484315032
10259753,536698,48.8153333,-122.1853333,-0.686,640454576.72,eq,27.42589523669
10259843,536788,48.8051667,-122.1713333,-1.02,640472820.39,eq,26.2439164798
10260048,536993,48.8603333,-122.1703333,0.08,640486415.07,eq,27.63451538474
10260113,537058,48.8438333,-122.1783333,3.931,640520738.53,eq,27.62341264518
10260503,537448,48.798,-122.1646667,-1,640567704.79,eq,25.66674589898
10260688,537633,48.8255,-122.1683333,0.132,640607233.42,eq,26.41185660462
10260713,537658,48.8595,-122.1358333,1.05,640607272.07,eq,25.23730235903
10260928,537873,48.8621667,-122.1701667,-1.02,640655392.84,eq,27.69370544826
