Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
AM,R1AC6,49.34234234234234,-123.02910902399918,176.0,Raspberry Shake Citizen Science Station,2019-10-22T18:10:54,2020-05-08T17:00:23
AM,R1AC6,49.34234234234234,-123.02935906754338,179.0,Raspberry Shake Citizen Science Station,2020-05-08T19:13:24,2599-12-31T23:59:59
AM,R1BE0,47.93693693693694,-121.93221270335408,104.0,Raspberry Shake Citizen Science Station,2023-11-25T20:22:23,2024-06-21T19:40:26
AM,R1BE0,47.93693693693694,-121.9343353849123,73.0,Raspberry Shake Citizen Science Station,2024-06-21T19:40:26,2599-12-31T23:59:59
AM,R25AC,49.28828828828829,-123.1088036930726,4.0,Raspberry Shake Citizen Science Station,2018-09-24T23:52:54,2599-12-31T23:59:59
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2018-04-05T02:16:06,2020-02-17T17:32:50
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2020-02-17T22:55:01,2020-03-10T17:00:17
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2020-03-14T23:39:43,2020-06-27T17:00:27
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2020-06-30T01:27:21,2021-04-17T16:59:05
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-04-23T18:42:23,2021-08-17T16:59:24
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-08-26T04:30:48,2021-08-30T16:59:37
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-09-01T16:03:28,2021-09-07T16:59:24
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-09-08T03:27:08,2021-09-14T16:59:22
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-09-15T02:10:54,2021-10-19T16:59:51
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-10-22T16:26:50,2021-10-25T16:59:34
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-11-06T01:27:50,2021-11-12T17:00:04
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-11-15T19:14:57,2021-11-24T17:00:16
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2021-12-05T04:38:37,2021-12-07T16:59:48
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2022-01-06T02:05:17,2022-01-25T17:00:02
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2022-01-28T04:09:28,2022-03-12T17:00:30
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2022-03-13T05:03:48,2022-05-11T17:01:29
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2022-05-12T05:05:14,2022-05-28T17:01:16
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2022-05-29T22:47:12,2022-06-05T17:02:19
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2022-06-08T16:21:42,2022-06-26T17:01:47
AM,R3302,47.81981981981982,-122.19596869378705,75.0,Raspberry Shake Citizen Science Station,2022-06-27T20:31:14,2599-12-31T23:59:59
AM,R38BF,48.98198198198198,-121.53013220428008,585.2,Raspberry Shake Citizen Science Station,2024-06-22T18:48:05,2024-06-22T18:52:49
AM,R3A8E,49.26126126126126,-123.12043733706594,9.0,Raspberry Shake Citizen Science Station,2023-06-27T22:27:59,2599-12-31T23:59:59
AM,R4738,49.24324324324324,-122.55771696338837,105.0,Raspberry Shake Citizen Science Station,2017-01-14T06:10:16,2021-11-17T16:59:54
AM,R4D65,49.21621621621622,-122.95137620760374,7.0,Raspberry Shake Citizen Science Station,2019-02-05T18:10:01,2019-04-22T20:16:13
AM,R53FD,47.85585585585586,-122.1634850419597,117.0,Raspberry Shake Citizen Science Station,2022-06-07T01:06:29,2599-12-31T23:59:59
AM,R56F5,49.12612612612612,-122.9065189192467,60.21,Raspberry Shake Citizen Science Station,2023-10-27T04:30:23,2599-12-31T23:59:59
