Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
NP,7031,47.99665,-122.19916,28.0,Fire Station 2,1999-06-30T18:00:00,2599-12-31T23:59:59
NP,7033,48.512,-122.61342,4.0,Fire Station,1999-07-01T18:00:00,2599-12-31T23:59:59
NP,7043,48.71959,-122.49783,38.0,Fire Station 2,2002-02-11T18:00:00,2599-12-31T23:59:59
NP,7063,48.24033,-122.45637,15.0,Fire and Rescue Admin Office,2012-08-24T18:00:00,2599-12-31T23:59:59
TA,A04A,48.7197,-122.707001,23.0,Legoe Bay Lummi Island WA USA,2004-09-19T00:00:00,2008-02-19T23:59:59
TA,A04D,48.7201,-122.706299,13.0,Lummi Island WA USA,2010-08-18T00:00:00,2016-05-16T23:59:59
TA,A05A,48.998299,-122.085197,174.3,Maple Falls WA USA,2005-11-25T00:00:00,2009-01-08T23:59:59
TA,A06A,49.098301,-121.4804,576.0,Chilliwack BC CAN,2006-10-18T00:00:00,2008-05-21T23:59:59
TA,A07A,49.048,-120.383698,1842.0,Ashnola River Keremeos BC CAN,2006-10-14T00:00:00,2008-06-17T23:59:59
TA,B05A,48.264099,-122.096001,154.5,Bryant WA USA,2005-11-25T00:00:00,2008-02-20T23:59:59
TA,B05D,48.264099,-122.096001,153.0,Stanwood WA USA,2010-08-23T00:00:00,2016-05-18T23:59:59
TA,B06A,48.518299,-121.484497,75.0,Marblemount WA USA,2006-09-17T00:00:00,2008-11-12T23:59:59
UW,ATES,48.23617,-122.06042,62.6,Arlington WA USA,2001-09-06T00:00:00,2012-02-24T00:00:00
UW,BERY,48.2641,-122.096,149.6,Pilchuck Tree Farm Arlington WA USA,2018-06-19T00:00:00,2022-08-09T00:01:01
UW,BEVT,47.92497,-122.27811,174.1,Boeing Everett Plant Everett WA USA,2001-02-21T00:00:00,2599-12-31T23:59:59
UW,BHAM,48.78724,-122.41752,116.5,Bellingham WA USA,2021-08-06T00:00:00,2599-12-31T23:59:59
UW,BHW,47.83636,-122.03057,152.0,Bald Hill WA USA,1984-07-01T00:00:00,2599-12-31T23:59:59
