#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
UW|LARL|D0|GPL|48.85949|-122.48445|26.8|0.0|0.0|0.0|Geophone|1.0|0.25|counts|1.0|2021-01-14T00:00:00|
UW|LARL|D0|GST|48.85949|-122.48445|26.8|0.0|0.0|0.0|Linear Strain|1.0|0.25|counts|1.0|2021-01-14T00:00:00|
UW|LARL|D0|LCE|48.85949|-122.48445|26.8|0.0|0.0|0.0|Clock Phase|1000000.0|0.25|s|1.0|2021-01-14T00:00:00|
UW|LARL|D0|LCQ|48.85949|-122.48445|26.8|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2021-01-14T00:00:00|
UW|LARL|D0|VCO|48.85949|-122.48445|26.8|0.0|0.0|0.0|Voltage Controlled Oscillator|1.0|0.25|counts|1.0|2021-01-14T00:00:00|
UW|LARL|D0|VDT|48.85949|-122.48445|26.8|0.0|0.0|0.0|Pressure|1000.0|0.25|degC|1.0|2021-01-14T00:00:00|
UW|LARL|D0|VEC|48.85949|-122.48445|26.8|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2021-01-14T00:00:00|
UW|LARL|D0|VEI|48.85949|-122.48445|26.8|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|V|1.0|2021-01-14T00:00:00|
UW|LARL|D0|VPB|48.85949|-122.48445|26.8|0.0|0.0|0.0|Geophone|1.0|0.25|percent|1.0|2021-01-14T00:00:00|
UW|LYND||HNE|48.95967|-122.41767|36.0|0.0|90.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-08-04T00:00:00|
UW|LYND||HNN|48.95967|-122.41767|36.0|0.0|0.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-08-04T00:00:00|
UW|LYND||HNZ|48.95967|-122.41767|36.0|0.0|0.0|-90.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-08-04T00:00:00|
UW|LYND|D0|GAN|48.95967|-122.41767|36.0|0.0|0.0|0.0|Tiltmeter|1.0|0.25|counts|1.0|2021-08-04T00:00:00|
UW|LYND|D0|GEL|48.95967|-122.41767|36.0|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|m|1.0|2021-08-04T00:00:00|
UW|LYND|D0|GLA|48.95967|-122.41767|36.0|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-04T00:00:00|
UW|LYND|D0|GLO|48.95967|-122.41767|36.0|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-04T00:00:00|
UW|LYND|D0|GNS|48.95967|-122.41767|36.0|0.0|0.0|0.0|Accelerometer|1.0|0.25|counts|1.0|2021-08-04T00:00:00|
UW|LYND|D0|GPL|48.95967|-122.41767|36.0|0.0|0.0|0.0|Geophone|1.0|0.25|counts|1.0|2021-08-04T00:00:00|
UW|LYND|D0|GST|48.95967|-122.41767|36.0|0.0|0.0|0.0|Linear Strain|1.0|0.25|counts|1.0|2021-08-04T00:00:00|
UW|LYND|D0|LCE|48.95967|-122.41767|36.0|0.0|0.0|0.0|Clock Phase|1000000.0|0.25|s|1.0|2021-08-04T00:00:00|
